DeptCode,Year,Month,AccountCode,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2014,10,1__1_8__8_1,receive,27360170,26:19.7,D_DNS
R12_04_LTN,2015,1,2__2_1__1_3,receive,26771649.97,38:28.3,D_DNS
R12_04_LTN,2015,1,2__2_1__1_3__2_,receive,26771649.97,38:28.3,D_DNS
R12_04_LTN,2015,6,1__1_3__3_6__3_3_3,receive,26521800,11:07.3,D_SSM
R12_04_LTN,2013,11,2__2_1__1_1__4,receive,26341665,38:07.6,D_DNS
R12_04_LTN,2015,1,2__2_1__1_1__7_,receive,26190000,38:28.3,D_DNS
R12_04_LTN,2013,8,2__2_1__1_1__4,receive,26071658,31:53.2,D_DNS
R12_04_LTN,2014,12,1__1_8__8_1,receive,25947750,01:22.6,D_DNS
R12_04_LTN,2017,3,2__2_1__1_1__3,receive,24194693,40:54.9,D_MMA
R12_04_LTN,2016,10,1__1_8__8_1,receive,24076285,59:46.8,D_MMA
R12_04_LTN,2016,2,2__2_1__1_3,receive,23841303.58,28:13.5,D_SSM
R12_04_LTN,2016,2,2__2_1__1_3__2_,receive,23841303.58,28:13.5,D_SSM
R12_04_LTN,2013,7,2__2_1__1_1__7,receive,23520000,27:57.6,D_DNS
R12_04_LTN,2015,11,2__2_1__1_1__7_,receive,22655000,26:49.5,D_SSM
R12_04_LTN,2015,5,2__2_1__1_1__4,receive,22337618,47:16.0,D_SSM
R12_04_LTN,2014,6,1__1_8__8_1,receive,21851550,15:51.9,D_DNS
R12_04_LTN,2014,10,2__2_1__1_1__4,receive,21366160,26:19.7,D_DNS
R12_04_LTN,2015,12,2__2_1__1_3,receive,21245131.54,27:18.2,D_SSM
R12_04_LTN,2015,12,2__2_1__1_3__2_,receive,21245131.54,27:18.2,D_SSM
R12_04_LTN,2013,7,1__1_3__3_6__3_3_3,receive,20863356,27:57.6,D_DNS
R12_04_LTN,2014,1,1__1_8__8_1,receive,20419395,14:04.3,D_DNS
R12_04_LTN,2015,2,1__1_8__8_1,receive,20111645,08:47.9,D_DNS
R12_04_LTN,2014,4,2__2_1__1_1__4,receive,20020695,15:12.3,D_DNS
R12_04_LTN,2017,2,1__1_8__8_1,receive,19379265,04:47.0,D_MMA
R12_04_LTN,2013,6,2__2_1__1_3,receive,19230000,26:40.2,D_DNS
R12_04_LTN,2013,6,2__2_1__1_3__3,receive,19230000,26:40.2,D_DNS
R12_04_LTN,2014,11,1__1_3__3_6__3_3_3,receive,18965177,26:18.1,D_DNS
R12_04_LTN,2017,3,1__1_8__8_1,receive,18914660,40:54.9,D_MMA
R12_04_LTN,2015,3,2__2_1__1_1__1,receive,18862472.63,32:10.3,D_DNS
R12_04_LTN,2013,7,2__2_1__1_1__4,receive,18836714,27:57.6,D_DNS
R12_04_LTN,2015,8,2__2_1__1_1__4,receive,18716393,18:09.1,D_SSM
R12_04_LTN,2016,8,2__2_1__1_1__4,receive,18534705,43:35.4,D_MMA
R12_04_LTN,2016,5,1__1_3__3_6__3_16_,receive,18315000,24:36.5,D_MMA
R12_04_LTN,2015,6,2__2_1__1_1__4,receive,18108181,11:07.3,D_SSM
R12_04_LTN,2015,9,2__2_1__1_1__4,receive,17975349,18:41.2,D_SSM
R12_04_LTN,2015,9,2__2_1__1_3,receive,17904976.66,18:41.2,D_SSM
R12_04_LTN,2015,9,2__2_1__1_3__2_,receive,17904976.66,18:41.2,D_SSM
R12_04_LTN,2013,8,1__1_3__3_6__3_3_3,receive,17832405,31:53.2,D_DNS
R12_04_LTN,2017,1,2__2_1__1_3,receive,17236680.37,24:56.2,D_MMA
R12_04_LTN,2017,1,2__2_1__1_3__2_,receive,17236680.37,24:56.2,D_MMA
R12_04_LTN,2015,11,1__1_8__8_1,receive,16812040,26:49.5,D_SSM
R12_04_LTN,2015,3,2__2_1__1_1__3,receive,16738373,32:10.3,D_DNS
R12_04_LTN,2013,8,2__2_1__1_3,receive,16313466,31:53.2,D_DNS
R12_04_LTN,2015,7,1__1_8__8_1,receive,16287290,13:51.7,D_SSM
R12_04_LTN,2013,12,2__2_1__1_3__3,receive,15892500,35:15.5,D_DNS4
R12_04_LTN,2015,1,1__1_8__8_1,receive,15717195,38:28.3,D_DNS
R12_04_LTN,2017,3,2__2_1__1_1__1,receive,15707008.02,40:54.9,D_MMA
R12_04_LTN,2017,3,1__1_3__3_6__3_5_,receive,15654286,40:54.9,D_MMA
R12_04_LTN,2017,3,1__1_3__3_6__3_4_,receive,15457143,40:54.9,D_MMA
R12_04_LTN,2013,6,2__2_1__1_1__4,receive,14942807,26:40.2,D_DNS
R12_04_LTN,2015,5,1__1_3__3_6__3_3_3,receive,14544052,47:16.0,D_SSM
R12_04_LTN,2016,3,2__2_1__1_4,receive,14427206,04:04.2,D_SSM
R12_04_LTN,2015,4,1__1_3__3_6__3_3_3,receive,14383106,46:47.4,D_SSM
R12_04_LTN,2015,10,2__2_1__1_1__7_,receive,14255000,24:30.7,D_SSM
R12_04_LTN,2016,8,1__1_3__3_6__3_3_3,receive,14211239,43:35.4,D_MMA
R12_04_LTN,2015,11,1__1_3__3_6__3_3_3,receive,14184286,26:49.5,D_SSM
R12_04_LTN,2016,3,2__2_1__1_3__3,receive,14000000,04:04.2,D_SSM
R12_04_LTN,2014,6,2__2_1__1_1__4,receive,13867326,15:51.9,D_DNS
R12_04_LTN,2014,3,2__2_1__1_1__3,receive,13221895,24:56.8,D_DNS
R12_04_LTN,2017,4,1__1_3__3_6__3_3_3,receive,13182142,09:45.8,D_MMA
R12_04_LTN,2013,5,1__1_3__3_6__3_3_3,receive,13179070,21:17.5,D_DNS
R12_04_LTN,2014,9,1__1_8__8_1,receive,13135320,07:55.5,D_DNS
