DeptCode,Year,Month,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2013,8,receive,17832405,31:53.2,D_DNS
R12_04_LTN,2017,1,receive,17236680.37,24:56.2,D_MMA
R12_04_LTN,2017,1,receive,17236680.37,24:56.2,D_MMA
R12_04_LTN,2015,11,receive,16812040,26:49.5,D_SSM
R12_04_LTN,2015,3,receive,16738373,32:10.3,D_DNS
R12_04_LTN,2013,8,receive,16313466,31:53.2,D_DNS
R12_04_LTN,2015,7,receive,16287290,13:51.7,D_SSM
R12_04_LTN,2013,12,receive,15892500,35:15.5,D_DNS4
R12_04_LTN,2015,1,receive,15717195,38:28.3,D_DNS
R12_04_LTN,2017,3,receive,15707008.02,40:54.9,D_MMA
R12_04_LTN,2017,3,receive,15654286,40:54.9,D_MMA
R12_04_LTN,2017,3,receive,15457143,40:54.9,D_MMA
R12_04_LTN,2013,6,receive,14942807,26:40.2,D_DNS
R12_04_LTN,2015,5,receive,14544052,47:16.0,D_SSM
R12_04_LTN,2016,3,receive,14427206,04:04.2,D_SSM
R12_04_LTN,2015,4,receive,14383106,46:47.4,D_SSM
R12_04_LTN,2015,10,receive,14255000,24:30.7,D_SSM
R12_04_LTN,2016,8,receive,14211239,43:35.4,D_MMA
R12_04_LTN,2015,11,receive,14184286,26:49.5,D_SSM
R12_04_LTN,2016,3,receive,14000000,04:04.2,D_SSM
R12_04_LTN,2014,6,receive,13867326,15:51.9,D_DNS
R12_04_LTN,2014,3,receive,13221895,24:56.8,D_DNS
R12_04_LTN,2017,4,receive,13182142,09:45.8,D_MMA
R12_04_LTN,2013,5,receive,13179070,21:17.5,D_DNS
R12_04_LTN,2014,9,receive,13135320,07:55.5,D_DNS
R12_04_LTN,2016,10,receive,13094896.38,59:46.8,D_MMA
R12_04_LTN,2016,7,receive,13025749,54:56.4,D_MMA
R12_04_LTN,2013,4,receive,12956774,21:01.7,D_DNS
R12_04_LTN,2013,8,receive,12840000,31:53.2,D_DNS
R12_04_LTN,2016,9,receive,12475000,15:23.9,D_MMA
R12_04_LTN,2016,8,receive,12330000,43:35.4,D_MMA
R12_04_LTN,2014,8,receive,12324495,25:22.8,D_DNS
R12_04_LTN,2017,6,receive,12189550,54:05.4,D_EKTW
R12_04_LTN,2017,6,receive,12189550,54:05.4,D_EKTW
R12_04_LTN,2014,5,receive,12143314,15:32.3,D_DNS
R12_04_LTN,2016,6,receive,12135122,26:23.7,D_MMA
